,topic,N_word,word,prob
260,25,0,brasil,0.19022955364527136
261,25,1,bolsonaro,0.09718044241818401
262,25,2,brasileño,0.08951786272700858
263,25,3,lulo,0.05633667665494477
264,25,4,elección,0.05301210797625673
265,25,5,jair,0.04630848976218189
266,25,6,octubre,0.04245058394545779
267,25,7,italia,0.03568655991180686
268,25,8,amazonia,0.03531845540705704
269,25,9,periodista,0.034654274832216364
270,26,0,dolar,0.18464359971787614
271,26,1,caer,0.06707736964003895
272,26,2,blue,0.05370010931106469
273,26,3,uruguay,0.05314008764107819
274,26,4,noticia,0.0524275115225139
275,26,5,subir,0.049765535131497
276,26,6,feriado,0.042948664369028264
277,26,7,precio,0.042870472125347815
278,26,8,valor,0.04248140094995728
279,26,9,semana,0.039612544124253316
280,27,0,conduccion,0.3230062221025408
281,27,1,aire,0.30833760380183045
282,27,2,todo,0.27854161715332615
283,27,3,noticia,0.2554340206393802
284,27,4,ahora,0.16436618199960318
285,27,5,aureliano,0.11111686054848592
286,27,6,folle,0.10700912507592797
287,27,7,subrayado,0.10556766969042178
288,27,8,edicion,0.10392542272973732
289,27,9,mediodia,0.09098474944270685
290,28,0,cuba,0.09003735852857124
291,28,1,ecuador,0.08766379135129616
292,28,2,protesta,0.0753459229225705
293,28,3,america,0.060024905685714156
294,28,4,nicaraguo,0.05696800075352489
295,28,5,indigena,0.05654872996884141
296,28,6,cumbre,0.053256867016261034
297,28,7,venezuela,0.04628274874198728
298,28,8,lasso,0.04021786410115095
299,28,9,presidente,0.0388862817459047
300,29,0,qatar,0.11783604742651305
301,29,1,mundial,0.09310353972213872
302,29,2,futbol,0.06437455967851596
303,29,3,uruguay,0.06115890204056412
304,29,4,uruguayo,0.04609836150785572
305,29,5,femenino,0.04406830380030806
306,29,6,seleccion,0.040261395664097865
307,29,7,copa,0.03423350119918594
308,29,8,uruguaya,0.030937350572960928
309,29,9,fifa,0.02894968617174483
